"";"Datum";"factorn";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"941";2015-06-30;0,00606060606060606;1;-2;-1;-1;NA
"951";2015-09-30;0,00689655172413793;0;-1;-1;-1;NA
"912";1994-03-31;0,00211267605633803;-1;-1;NA;NA;NA
"109";1994-06-30;0,00204081632653061;0;-1;NA;NA;NA
"1112";1994-09-30;NA;-1;0;NA;NA;NA
"1212";1994-12-31;NA;0;-1;NA;NA;NA
"298";1999-03-31;0,00447761194029851;0;NA;NA;NA;NA
"623";1993-06-30;0,0016304347826087;0;0;NA;NA;NA
"1213";1994-12-31;NA;-1;0;NA;NA;NA
"1810";1996-06-30;0,00223880597014925;-1;-1;NA;NA;NA
"236";1997-09-30;0,0025;0;-1;NA;NA;NA
"624";1993-06-30;0,0016304347826087;-1;-1;NA;NA;NA
"1113";1994-09-30;NA;1;-1;NA;NA;NA
"1214";1994-12-31;NA;0;-1;NA;NA;NA
"1311";1995-03-31;0,00211267605633803;0;0;NA;NA;NA
"149";1995-06-30;0,00215827338129496;1;NA;NA;NA;NA
"159";1995-09-30;0,00303030303030303;0;NA;NA;NA;NA
"1710";1996-03-31;0,00303030303030303;0;NA;NA;NA;NA
"1811";1996-06-30;0,00223880597014925;-1;-2;NA;NA;NA
"199";1996-09-30;0,0027027027027027;0;-1;NA;NA;NA
"2010";1996-12-31;0,00285714285714286;0;-1;NA;NA;NA
"2110";1997-03-31;0,00220588235294118;NA;0;NA;NA;NA
"228";1997-06-30;0,00285714285714286;0;0;NA;NA;NA
"237";1997-09-30;0,0025;-2;-2;NA;NA;NA
"248";1997-12-31;0,00352941176470588;1;-1;NA;NA;NA
"258";1998-03-31;0,00319148936170213;0;0;NA;NA;NA
"299";1999-03-31;0,00447761194029851;1;1;NA;NA;NA
"1312";1995-03-31;0,00211267605633803;2;2;NA;NA;NA
"2011";1996-12-31;0,00285714285714286;0;0;NA;NA;NA
"259";1998-03-31;0,00319148936170213;0;0;NA;NA;NA
"286";1998-12-31;0,00352941176470588;0;0;NA;NA;NA
"2910";1999-03-31;0,00447761194029851;0;0;NA;NA;NA
"305";1999-06-30;0,00384615384615385;2;2;NA;NA;NA
"625";1993-06-30;0,0114130434782609;1;0;NA;NA;NA
"913";1994-03-31;0,0147887323943662;1;0;NA;NA;NA
"1010";1994-06-30;0,0142857142857143;0;0;NA;NA;NA
"1114";1994-09-30;NA;0;0;NA;NA;NA
"2012";1996-12-31;0,02;0;0;NA;NA;NA
"2111";1997-03-31;0,0154411764705882;0;0;NA;NA;NA
"229";1997-06-30;0,02;0;0;NA;NA;NA
"238";1997-09-30;0,0175;0;0;NA;NA;NA
"249";1997-12-31;0,0247058823529412;-1;0;NA;NA;NA
"2510";1998-03-31;0,0223404255319149;0;0;NA;NA;NA
"306";1999-06-30;0,0269230769230769;0;1;NA;NA;NA
"314";1999-09-30;0,0118811881188119;1;-1;NA;NA;NA
"324";1999-12-31;0,0144578313253012;NA;0;NA;NA;NA
"354";2000-09-30;0,0252631578947368;-1;1;NA;NA;NA
"365";2000-12-31;0,0214285714285714;0;-1;NA;NA;NA
"374";2001-03-31;0,012972972972973;0;0;NA;NA;NA
"384";2001-06-30;0,0230769230769231;-1;1;-1;-1;NA
"394";2001-09-30;0,025;1;0;0;0;NA
"404";2001-12-31;0,025531914893617;0;0;0;0;NA
"414";2002-03-31;0,0210526315789474;NA;-1;0;-1;NA
"423";2002-06-30;0,0181818181818182;NA;0;0;1;NA
"433";2002-09-30;0,0260869565217391;0;0;-1;0;NA
"444";2002-12-31;0,0222222222222222;NA;1;0;-1;NA
"454";2003-03-31;0,0210526315789474;-1;-1;-1;0;NA
"464";2003-06-30;0,0203389830508475;0;0;0;0;NA
"474";2003-09-30;0,0230769230769231;NA;1;1;0;NA
"484";2003-12-31;0,0235294117647059;NA;1;0;1;NA
"493";2004-03-31;0,03;0;0;0;0;NA
"502";2004-06-30;0,03;0;0;0;0;NA
"511";2004-09-30;0,0272727272727273;0;0;0;0;NA
"522";2004-12-31;0,0352941176470588;0;0;0;0;NA
"533";2005-03-31;0,025;0;0;0;-1;NA
"543";2005-06-30;0,027906976744186;0;0;0;0;NA
"626";1993-06-30;0,0016304347826087;0;0;NA;NA;NA
"627";1993-06-30;0,0016304347826087;0;0;NA;NA;NA
"1215";1994-12-31;NA;0;1;NA;NA;NA
