Streek;Idnr;Sektor;Gewig;Faktor;OpnameQ;Q1;Q2A;Q2P;Q3A;Q3P;Q4A;Q4P;Q5A;Q5P;Q6A;Q6P;Q7A;Q7P;Q8;Q9;Latecomer;NewRecruit;WrongClassif;Duplicate
01;15610;2230;6;8.75;15Q3;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;FALSE
04;31088;2230;5;3.75;15Q3;2;2;1;2;1;3;1;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
05;33202;2220;6;8.75;15Q3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;FALSE;FALSE;FALSE;FALSE
02;33204;2110;3;1.498000026;15Q3;2;3;2;2;2;3;2;2;2;1;2;2;2;1;2;FALSE;FALSE;FALSE;FALSE
02;33219;2130;4;2.144999981;15Q3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;FALSE;FALSE;FALSE;FALSE
05;33221;2120;1;0.143000007;15Q3;2;3;3;3;3;3;3;2;2;1;1;1;1;3;3;FALSE;FALSE;FALSE;FALSE
05;33402;2110;4;3.210000038;15Q3;2;3;2;3;2;3;3;3;2;1;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
05;33499;2230;3;0.875;15Q3;2;3;3;2;2;2;2;2;2;2;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
05;33500;2110;3;1.498000026;15Q3;1;2;1;1;1;2;1;2;1;1;3;1;2;2;3;FALSE;FALSE;FALSE;FALSE
06;35133;2110;2;0.64200002;15Q2;2;2;;3;3;3;3;2;2;3;3;3;3;3;2;TRUE;FALSE;FALSE;FALSE
06;36011;2120;5;4.289999962;15Q3;1;1;1;1;1;;;2;1;2;2;2;2;1;2;FALSE;FALSE;FALSE;FALSE
06;36399;2240;8;37.5;15Q3;2;3;3;3;3;3;3;3;3;2;2;2;2;3;2;FALSE;FALSE;FALSE;FALSE
06;37206;2220;3;0.875;15Q3;2;2;1;2;2;2;3;2;2;1;1;1;1;3;2;FALSE;FALSE;FALSE;FALSE
06;37210;2120;5;4.289999962;15Q3;2;3;3;3;3;3;3;3;3;3;3;2;2;3;2;FALSE;FALSE;FALSE;FALSE
