Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
2,14007,2210,3,2.394213331,14Q4,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13753,2130,2,2.153036421,14Q4,1,2,,1,,2,,2,,3,,3,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37247,2210,2,1.640408702,14Q4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,13381,2120,2,2.358087509,14Q4,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14653,2130,2,2.153036421,14Q4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37206,2220,1,2.083022916,14Q4,1,2,1,1,2,2,2,2,2,1,3,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13383,2130,1,0.825348702,14Q4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37656,2110,2,5.228802736,14Q4,1,2,2,2,3,2,3,2,2,1,1,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37618,2130,3,3.142404997,14Q4,2,2,2,3,3,3,3,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13386,2110,1,2.004418277,14Q4,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,96446,2210,1,0.628837107,14Q4,2,3,3,3,3,3,3,2,2,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96674,2210,2,1.640408702,14Q4,2,3,3,3,3,,,,,,,,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,53262,2220,2,5.433853824,14Q4,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13984,2220,3,7.93083166,14Q4,2,3,2,3,2,3,2,3,3,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
8,13063,2110,2,5.228802736,14Q4,2,2,3,2,3,2,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13042,2220,1,2.083022916,14Q4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13290,2220,1,2.083022916,14Q4,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13233,2220,2,4.656898807,10Q4,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13238,2110,2,5.365557321,10Q4,1,2,2,2,1,2,1,2,2,3,3,3,3,1,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13238,2110,2,5.365557321,11Q4,1,2,2,2,1,2,1,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13238,2110,2,5.365557321,12Q1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13238,2110,2,5.365557321,12Q2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13288,2220,2,4.656898807,10Q4,2,2,2,3,2,1,2,2,3,2,2,2,2,2,1,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13290,2220,1,1.693490761,10Q4,1,1,2,,3,2,3,2,2,1,2,2,2,2,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13290,2220,1,1.693490761,11Q3,2,3,2,3,2,3,3,2,2,1,1,2,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13290,2220,1,1.693490761,12Q4,1,,,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13294,2110,1,1.951195877,10Q4,2,2,,3,,2,,1,,3,,3,,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13296,2110,1,1.951195877,10Q4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13296,2110,1,1.951195877,11Q3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13297,2220,1,1.693490761,10Q4,1,3,1,3,1,3,1,2,2,3,1,1,1,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13300,2220,2,4.656898807,10Q4,2,3,,1,,1,,1,,1,,3,,2,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13301,2210,1,0.662670298,10Q4,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13315,2110,1,1.951195877,10Q4,2,3,2,3,3,3,3,2,3,2,1,3,3,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13315,2110,1,1.951195877,11Q4,1,1,3,1,3,1,3,2,2,2,,2,1,2,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13358,2220,1,1.693490761,10Q4,2,3,3,3,3,3,3,2,2,1,1,2,2,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
1,13358,2220,1,1.693490761,11Q3,2,3,3,3,3,3,3,3,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13358,2220,1,1.693490761,12Q1,2,3,2,3,2,3,3,2,3,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13358,2220,1,1.693490761,12Q2,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
