"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"5753";2006-03-31;1;0;0;-1;0;NA
"58100";2006-06-30;1;-1;-1;-1;0;NA
"5977";2006-09-30;1;-1;-2;-1;-1;NA
"6085";2006-12-31;1;0;1;0;0;NA
"61164";2007-03-31;1;-1;-1;-1;-1;NA
"62111";2007-06-30;1;1;1;1;1;NA
"63106";2007-09-30;1;NA;0;0;0;NA
"64100";2007-12-31;1;NA;1;0;0;NA
"65106";2008-03-31;1;-1;0;1;0;NA
"6505";1993-06-30;1;-1;-1;NA;NA;NA
"9280";1994-03-31;1;0;0;NA;NA;NA
"12126";1994-12-31;1;0;0;NA;NA;NA
"13148";1995-03-31;1;-1;-1;NA;NA;NA
"14112";1995-06-30;1;0;0;NA;NA;NA
"15102";1995-09-30;1;0;-1;NA;NA;NA
"3555";2000-09-30;6;2;1;NA;NA;NA
"3653";2000-12-31;6;0;1;NA;NA;NA
"3763";2001-03-31;6;-2;0;NA;NA;NA
"3860";2001-06-30;2;0;0;-1;-1;NA
"4186";2002-03-31;2;NA;0;1;0;NA
"4272";2002-06-30;2;NA;0;1;0;NA
"4379";2002-09-30;2;0;0;0;1;NA
"4873";2003-12-31;2;0;0;1;1;NA
"4974";2004-03-31;2;1;1;1;1;NA
"5066";2004-06-30;2;NA;0;0;1;NA
"5172";2004-09-30;2;NA;1;0;-1;NA
"17113";1996-03-31;1;0;1;NA;NA;NA
"20121";1996-12-31;1;0;-1;NA;NA;NA
"65107";2008-03-31;1;1;0;0;1;NA
"6506";1993-06-30;1;0;0;NA;NA;NA
"11129";1994-09-30;1;1;1;NA;NA;NA
"12127";1994-12-31;1;-1;-2;NA;NA;NA
"13149";1995-03-31;1;1;1;NA;NA;NA
"14113";1995-06-30;1;-1;-1;NA;NA;NA
"15103";1995-09-30;1;1;2;NA;NA;NA
"16112";1995-12-31;1;0;0;NA;NA;NA
"17114";1996-03-31;1;0;0;NA;NA;NA
"18124";1996-06-30;1;1;1;NA;NA;NA
"19121";1996-09-30;1;0;-1;NA;NA;NA
"25115";1998-03-31;1;0;1;NA;NA;NA
"13150";1995-03-31;1;-1;NA;NA;NA;NA
"16113";1995-12-31;1;1;1;NA;NA;NA
"17115";1996-03-31;1;-1;-1;NA;NA;NA
"18125";1996-06-30;1;0;0;NA;NA;NA
"19122";1996-09-30;1;1;-1;NA;NA;NA
"20122";1996-12-31;1;0;0;NA;NA;NA
"21115";1997-03-31;1;0;NA;NA;NA;NA
"22106";1997-06-30;1;0;NA;NA;NA;NA
"2996";1999-03-31;1;0;0;NA;NA;NA
"6507";1993-06-30;1;0;1;NA;NA;NA
"9281";1994-03-31;1;1;0;NA;NA;NA
"10146";1994-06-30;1;-1;0;NA;NA;NA
"11130";1994-09-30;1;0;1;NA;NA;NA
"18126";1996-06-30;1;0;2;NA;NA;NA
"19123";1996-09-30;1;0;1;NA;NA;NA
"22107";1997-06-30;1;0;1;NA;NA;NA
"2898";1998-12-31;1;-1;-1;NA;NA;NA
"2997";1999-03-31;1;0;0;NA;NA;NA
"17116";1996-03-31;1;0;0;NA;NA;NA
"20123";1996-12-31;1;0;0;NA;NA;NA
