"";"Datum";"factor";"eQ2";"eQ3";"eQ4";"eQ5";"eQ6"
"576";2006-03-31;0,9;NA;0;0;0;NA
"586";2006-06-30;0,9;NA;0;1;1;NA
"6610";2008-06-30;0,9;NA;0;0;0;NA
"6711";2008-09-30;0,9;NA;0;0;0;NA
"7011";2009-06-30;0,9;NA;0;0;-1;NA
"719";2009-09-30;0,9;NA;0;0;0;NA
"7210";2009-12-31;0,9;NA;0;1;0;NA
"7312";2010-03-31;0,9;NA;0;0;0;NA
"749";2010-06-30;0,9;NA;0;0;-2;NA
"779";2011-03-31;0,9;NA;0;1;0;NA
"788";2011-06-30;0,9;NA;1;0;-1;NA
"7910";2011-09-30;0,9;NA;2;1;2;NA
"8010";2011-12-31;0,9;NA;0;-1;1;NA
"819";2012-03-31;0,9;NA;0;1;0;NA
"829";2012-06-30;0,9;NA;0;0;0;NA
"8312";2012-09-30;0,9;0;0;0;0;NA
"849";2012-12-31;0,9;1;1;1;0;NA
"859";2013-03-31;0,9;-1;-1;0;-1;NA
"866";2013-06-30;0,9;NA;1;0;0;NA
"874";2013-09-30;0,9;1;1;0;1;NA
"8810";2013-12-31;0,9;-1;0;0;-1;NA
"896";2014-03-31;0,9;1;0;-1;0;NA
"929";2014-12-31;0,9;1;0;1;1;NA
"939";2015-03-31;0,9;0;0;0;0;NA
"942";2015-06-30;0,9;0;0;0;0;NA
"7313";2010-03-31;0,6;NA;-1;0;-2;NA
"7410";2010-06-30;0,6;NA;-1;0;0;NA
"759";2010-09-30;0,6;NA;-2;1;0;NA
"769";2010-12-31;0,6;NA;-1;0;0;NA
"7710";2011-03-31;0,6;NA;1;0;0;NA
"8110";2012-03-31;0,6;NA;1;0;-1;NA
"867";2013-06-30;0,6;NA;-1;0;0;NA
"875";2013-09-30;0,6;0;0;0;0;NA
"904";2014-06-30;0,6;0;0;1;1;NA
"917";2014-09-30;0,6;0;0;0;0;NA
"9210";2014-12-31;0,6;NA;1;1;1;NA
"547";2005-06-30;0,2;NA;1;0;0;NA
"596";2006-09-30;0,2;NA;1;0;1;NA
"607";2006-12-31;0,2;NA;-1;-1;-1;NA
"613";2007-03-31;0,2;NA;-1;0;-2;NA
"624";2007-06-30;0,2;NA;0;0;0;NA
"635";2007-09-30;0,2;NA;0;0;0;NA
"646";2007-12-31;0,2;NA;1;0;1;NA
"657";2008-03-31;0,2;NA;0;1;-1;NA
"6611";2008-06-30;0,2;NA;0;0;0;NA
"6712";2008-09-30;0,2;NA;0;0;0;NA
"687";2008-12-31;0,2;NA;0;0;0;NA
