,Date,Datum,Obs,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9
81,2012Q2,2012/06/30,128,38.89455484,-28.25558987,7.746939966,-16.26678997,6.582468335,-22.68671355,-10.02705615,-2.738366066,5.36737558,60.28172936,30.86495395,45.94632482,25.54814459,-31.05552637,11.33389309
82,2012Q3,2012/09/30,147,46.21122798,-39.15606509,2.195142014,-8.424726532,19.82757122,-11.94655781,10.72551865,7.02789157,7.761926818,39.69649546,33.96321354,16.09538374,8.406738794,-33.06968078,34.40326455
83,2012Q4,2012/12/31,192,53.72087659,-27.77462848,-14.20470869,-8.981175959,4.50266044,-9.399697359,10.36179349,1.901286326,4.247241407,72.14271678,65.41140271,48.9839748,52.50610933,-35.56599988,6.710776079
84,2013Q1,2013/03/31,185,53.19707109,-35.93410829,-13.88933964,-12.42186193,1.704655405,-18.14573783,-5.954691924,-7.537990509,-7.435039337,60.55827899,45.26923374,48.14667253,33.44577817,-44.781037,23.60505905
85,2013Q2,2013/06/30,174,40.71527369,-12.55152199,-5.555673526,-4.735493,0.14652523,-15.00050254,-0.715224112,-21.13656249,-16.53569144,52.70822423,36.71057103,46.35121769,31.98811086,-40.99620459,18.127635
86,2013Q3,2013/09/30,195,49.40900437,-23.52767901,-4.97222993,-3.146178326,8.767140269,-6.03790598,-0.981210201,-18.48540958,-6.500038381,65.17746927,64.16453376,58.47718503,46.52758035,-40.24932901,13.0363262
87,2013Q4,2013/12/31,192,40.29821262,-20.29611241,17.02233843,11.81418492,14.17165718,5.529529403,11.42669464,-0.359201495,-3.956010646,62.31546012,36.76844419,51.72930771,28.15015492,-25.27346497,13.07401069
88,2014Q1,2014/03/31,154,39.32109131,-18.73026782,-21.07041816,-10.18922032,-14.78850199,-23.11521162,-14.71127177,-16.0084006,-12.82031523,87.08836102,52.60914419,73.66473561,55.44675434,-30.59796097,10.50063008
89,2014Q2,2014/06/30,115,48.99693886,-36.20649236,-16.99647778,-7.38423303,4.968816378,-8.473402564,-7.698822413,-11.53793961,-8.988335976,54.4060274,24.40712976,49.49912177,14.53365274,-23.91313484,20.57867283
90,2014Q3,2014/09/30,135,60.09737635,-13.27336145,12.48741423,-3.257962752,16.07255941,-2.626135212,22.70522303,-2.514502405,3.207444984,57.76248543,41.06485754,40.17557078,41.47321451,-27.44659664,15.5569477
91,2014Q4,2014/12/31,138,55.36980132,-4.259989437,13.02167724,14.19180931,9.766514164,12.12365386,7.130566431,20.00282741,-5.546962693,41.94659198,41.66322653,31.37637396,29.36260649,-1.189986413,26.13746881
92,2015Q1,2015/03/31,136,59.42858794,-8.896594536,0.707357199,10.25601594,27.04851104,-1.220307866,15.77575144,7.928421113,8.013314367,33.79969195,45.91002343,40.455695,51.27233333,-7.803688081,15.16655563
93,2015Q2,2015/06/30,165,52.46487971,-11.06356746,-6.180387596,6.803673851,6.596678369,1.040511467,3.547441326,7.332443616,3.345728444,61.39573242,53.47803713,49.74182881,48.96681919,3.351578219,21.74722086
94,2015Q3,2015/09/30,144,34.51097698,-36.04480128,-22.10655545,-12.56120873,-3.763914363,-17.37971123,-1.331455806,-8.919897551,-11.70673423,66.65800309,60.93503068,41.75765426,55.69634302,-20.33152068,19.75512857
95,2015Q4,2015/12/31,150,39.60454295,-35.31737742,-20.20189684,-23.46934818,-25.3198924,-16.33096089,-28.1616636,7.574722566,-10.09239593,46.09718617,33.65698688,28.87834803,38.06044907,-22.26811891,24.96643664
96,2016Q1,2016/03/31,134,44.29614023,-44.31279416,-28.52861992,-23.1411596,-25.71753793,-25.32986981,-25.09421321,5.39104896,-0.444315079,92.88616529,82.00174287,79.32307452,76.0151425,-30.95693471,34.4740591
97,2016Q2,2016/06/30,134,26.58574145,-41.15454882,-47.76295257,-23.15587193,-32.50054998,-29.0567139,-33.35829457,0.741420371,-12.3163023,76.85068364,67.93443662,52.27679416,56.29612903,-37.31399666,15.96220356
98,2016Q3,2016/09/30,141,43.02924005,-27.075637,-6.653154529,-18.66298374,-7.128562979,-21.50615906,-15.0869567,13.61286141,-5.417307664,69.7295133,46.82968454,56.83292213,33.11261082,-49.78847496,14.24315287
99,2016Q4,2016/12/31,178,34.3114596,-41.73614319,-14.86468143,-0.952409435,-4.411736408,13.54261671,-6.36911937,7.922604383,7.350677188,51.22579799,41.25017517,43.22794002,32.68473945,-16.34802916,26.73315708
100,2017Q1,2017/03/31,155,44.93696439,-36.10058775,-3.980533095,-24.50009659,12.97724267,-18.67232029,11.7025858,-11.18916699,4.675915475,36.46862374,22.0356226,20.16352131,14.4458749,-26.37549441,14.13662078
101,2017Q2,2017/06/30,146,34.67687899,-38.76857934,-28.09666834,-29.27034317,-26.29416821,-14.34595142,-9.73786316,-4.178498077,-3.882535437,37.37035351,37.32513877,28.09760801,28.72037546,-36.05180693,29.85148522
