Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Latecomer,NewRecruit,WrongClassif,Duplicate
01,96568,3310,5,4.5,2015Q3,2,3,1,3,1,3,1,2,2,1,1,1,1,3,2,FALSE,FALSE,FALSE,FALSE
01,96570,3120,4,1.769999981,2015Q3,2,3,3,3,2,2,2,2,2,1,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE
06,96574,3110,1,0.057999998,2015Q3,2,3,3,3,3,2,2,2,2,1,1,3,2,3,1,FALSE,FALSE,FALSE,FALSE
06,96582,3140,1,0.057999998,2015Q3,2,3,,3,2,3,2,2,3,3,2,3,3,3,2,TRUE,FALSE,FALSE,FALSE
01,96599,3230,4,3,2015Q3,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,FALSE,FALSE,FALSE,FALSE
06,96729,3230,6,14,2015Q3,2,2,,2,1,2,2,2,2,1,1,1,1,2,2,FALSE,FALSE,FALSE,FALSE
01,96761,3370,4,0.75,2015Q3,2,2,3,2,2,3,3,2,2,1,1,2,2,3,2,FALSE,FALSE,FALSE,FALSE
06,96776,3330,5,1.5,2015Q3,2,3,3,3,3,3,3,2,3,2,3,3,3,3,2,FALSE,FALSE,FALSE,FALSE
06,96783,3220,5,3,2015Q3,1,2,2,2,2,2,2,2,2,3,3,3,3,2,2,FALSE,FALSE,FALSE,FALSE
05,96837,3310,1,0.150000006,2015Q3,1,1,2,1,2,2,2,2,2,2,2,2,,1,2,FALSE,FALSE,FALSE,FALSE
01,96907,3230,2,0.600000024,2015Q3,2,3,2,3,2,3,2,2,2,1,2,1,2,3,1,FALSE,FALSE,FALSE,FALSE
05,96930,3330,1,0.050000001,2015Q3,,3,,2,,3,,2,,1,,1,,2,2,FALSE,FALSE,FALSE,FALSE
06,97029,3240,1,0.050000001,2015Q3,2,3,2,3,2,3,2,2,2,1,1,2,2,3,2,FALSE,FALSE,FALSE,FALSE
05,97283,3220,7,15,2015Q3,1,2,2,1,1,1,1,3,3,1,1,1,1,2,2,TRUE,FALSE,FALSE,FALSE
05,37411,3310,8,45,2014Q4,2,3,3,3,3,3,3,2,2,2,2,3,3,3,1,TRUE,FALSE,FALSE,FALSE
06,14591,3330,8,15,2014Q4,2,3,3,3,3,3,3,3,3,2,2,3,3,3,2,TRUE,FALSE,FALSE,FALSE
06,13757,3110,4,0.870000005,2014Q4,2,3,3,3,3,2,2,2,2,2,2,2,2,3,1,TRUE,FALSE,FALSE,FALSE
06,96582,3140,1,0.057999998,2014Q4,2,3,,3,,3,,3,,1,,2,,3,2,TRUE,FALSE,FALSE,FALSE
05,96736,3220,5,3,2014Q4,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,TRUE,FALSE,FALSE,FALSE
06,37397,3220,6,7,2014Q4,2,3,3,3,3,3,3,2,2,1,1,2,2,3,2,TRUE,FALSE,FALSE,FALSE
06,96574,3110,1,0.057999998,2014Q4,2,3,3,2,3,2,3,3,3,1,1,3,3,3,1,TRUE,FALSE,FALSE,FALSE
05,51837,3310,5,4.5,2014Q4,1,1,,1,,1,,1,,1,,1,,1,1,TRUE,FALSE,FALSE,FALSE
01,13760,3230,9,140,2014Q4,,,,1,2,1,2,2,2,1,2,1,2,2,2,TRUE,FALSE,FALSE,FALSE
06,51305,3370,8,15,2014Q4,1,1,2,1,2,1,2,1,3,1,1,1,1,2,2,TRUE,FALSE,FALSE,FALSE
08,13997,3240,4,0.75,2014Q4,1,2,2,2,3,2,3,2,2,2,1,1,1,3,2,TRUE,FALSE,FALSE,FALSE
04,13968,3310,5,4.5,2014Q4,,2,2,2,,2,2,2,2,1,1,1,1,3,2,TRUE,FALSE,FALSE,FALSE
05,14298,3220,5,3,2014Q4,2,2,2,1,2,,,2,2,2,2,2,2,3,2,TRUE,FALSE,FALSE,FALSE
05,51485,3220,1,0.100000001,2014Q4,2,2,1,2,1,2,1,2,1,1,2,1,1,3,2,TRUE,FALSE,FALSE,FALSE
06,13964,3220,5,3,2014Q4,1,2,,2,2,2,2,2,2,2,2,2,2,2,2,TRUE,FALSE,FALSE,FALSE
08,51865,3310,1,0.150000006,2014Q4,2,2,3,2,2,2,2,3,2,1,1,1,1,2,2,TRUE,FALSE,FALSE,FALSE
