Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Dag,Q1AX,Q1PX,Q3A,Q3P,Q3AX,Q3PX,Q4AX,Q4PX,Q6,Q7,Q6bX,Q6cXi,Q6cXii,Q8,Q10,Q6eX,Q9,Q7aX,Q7bX,Q7cX,Q7dX,Q1,Q2A,Q2P
5,34840,6010,3,3,2001Q1,15,3,1,3,1,2,1,2,1,,3,3,,,3,3,3,1,1,1,1,1,2,3,1
6,34845,6010,9,9,2001Q1,15,1,1,1,1,2,3,2,3,1,2,1,,,3,1,1,1,1,1,1,1,1,1,1
5,34832,6010,6,6,2001Q1,15,3,3,3,3,3,3,2,2,2,3,3,,,3,1,2,3,1,1,1,1,2,2,2
2,34828,6010,5,5,2001Q1,15,3,2,3,2,3,2,3,2,1,2,2,,,3,2,2,1,,,,,2,3,3
2,34824,6010,1,1,2001Q1,15,3,3,,3,,,,,,2,3,,,3,,1,1,,,,,2,3,2
2,34823,6010,4,4,2001Q1,15,2,3,,,2,,2,3,,3,3,,,2,2,2,2,,,,,,,
5,34863,6010,7,7,2001Q1,15,1,2,1,2,2,2,2,2,,2,2,,,3,3,3,2,,,,,1,1,
1,34871,6010,4,4,2001Q1,15,2,3,,,3,3,,,1,,,,,,,,1,,,,,2,3,3
5,34886,6010,5,5,2001Q1,15,1,2,1,2,1,2,1,2,1,3,3,,,2,3,3,1,,,,,1,3,3
6,34881,6010,4,4,2001Q1,15,1,2,1,2,3,1,3,1,2,1,1,,,2,3,3,3,,,,,1,2,2
8,34935,6010,5,5,2001Q1,15,3,3,,,3,3,,,1,3,3,,,3,3,3,1,,,,,2,3,3
1,34943,6000,4,4,2001Q1,15,3,3,3,3,3,3,3,3,1,,,,,,,,,,,,,,,
1,34942,6000,4,4,2001Q1,15,3,2,3,2,3,2,3,2,1,1,2,,,2,2,1,2,,,,,2,3,2
6,30113,5010,1,1,2001Q1,15,3,3,3,3,3,3,3,3,1,2,1,,,1,1,1,1,,,,,2,3,3
6,31149,5010,9,9,2001Q1,15,3,3,3,3,3,3,3,3,,3,3,,,3,3,3,1,1,2,1,1,2,3,3
6,97041,6010,7,7,2001Q1,15,2,2,3,2,1,2,1,2,1,2,2,,,1,1,1,1,,,,,,,
6,34956,5010,9,9,2001Q1,15,3,1,3,1,2,2,2,2,,3,3,,,2,2,3,1,1,1,1,1,2,3,3
6,34958,5010,9,9,2001Q1,15,3,3,3,3,3,2,3,2,2,2,1,,,3,3,3,1,,,,,2,3,2
6,34961,6010,6,6,2001Q1,15,1,3,3,3,3,,3,,2,2,3,,,3,2,2,2,,,,,2,2,
6,34962,6000,7,7,2001Q1,15,3,3,3,3,1,3,1,3,1,3,3,,,3,2,3,3,1,1,1,1,1,2,3
5,34952,5010,6,6,2001Q1,15,,,3,3,3,,3,,,3,3,,,3,3,3,1,1,1,1,1,2,3,3
1,34949,5010,6,6,2001Q1,15,1,,1,,1,,1,,2,3,3,,,3,1,1,2,1,1,1,1,1,2,
6,97122,5000,4,4,2001Q1,15,1,1,1,1,1,1,1,1,,2,2,,,3,3,3,3,1,1,1,1,1,1,1
5,97323,5000,3,3,2001Q1,15,2,2,3,3,2,2,2,2,,1,3,,,3,3,2,1,1,1,1,1,2,3,3
2,52071,5010,5,5,2001Q1,15,3,2,3,2,3,2,3,2,2,3,3,,,3,1,1,1,1,1,1,1,2,3,2
