Streek,Idnr,Sektor,Gewig,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
3,51904,3310,5,4.5,15Q3,2,2,2,3,3,2,2,2,2,1,1,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,51954,3370,5,1.5,15Q3,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,51964,3370,4,0.75,15Q3,2,3,3,3,3,3,3,3,2,1,1,2,1,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
1,51967,3330,7,7.5,15Q3,1,1,2,1,1,1,1,2,2,2,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,53044,3310,8,45,15Q3,2,3,,3,3,3,3,3,3,3,3,3,3,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
3,53269,3230,6,14,15Q3,2,3,3,3,3,3,3,3,3,1,1,1,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96392,3230,4,3,15Q3,1,2,2,1,2,1,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96401,3120,6,8.260000229,15Q3,1,1,2,1,2,2,2,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96429,3220,6,7,15Q3,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,13835,3220,5,3,14Q4,1,2,,1,1,1,1,2,2,1,1,1,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13955,3330,9,35,14Q4,1,3,3,1,3,1,2,1,2,3,3,1,3,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
8,13845,3330,7,7.5,14Q4,1,1,2,1,1,1,1,2,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,14602,3310,5,4.5,14Q4,1,2,2,1,2,1,3,2,2,1,1,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,13795,3130,5,1.74000001,14Q4,2,3,3,3,3,3,3,2,2,1,1,3,3,3,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,96570,3120,4,1.769999981,14Q4,2,3,3,3,2,1,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,35995,3160,3,0.405999988,14Q4,2,3,2,3,2,3,2,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,96783,3220,5,3,14Q4,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,13872,3220,5,3,14Q4,2,3,3,3,3,3,3,3,3,1,2,2,2,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,33359,3220,5,3,14Q4,2,2,2,3,3,3,3,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37448,3370,8,15,14Q4,,1,3,1,3,1,,2,2,1,2,1,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,37396,3220,7,15,14Q4,,2,2,2,2,2,2,2,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,51954,3370,5,1.5,14Q4,2,3,2,3,2,3,3,2,2,2,2,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,37381,3310,5,4.5,14Q4,1,1,2,2,2,1,2,2,2,2,2,2,2,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE
6,14610,3310,2,0.450000018,14Q4,,3,,3,2,3,2,2,2,1,2,1,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,96534,3330,9,35,14Q4,2,3,2,3,2,3,2,3,2,1,2,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
2,14269,3230,9,140,14Q4,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
1,51508,3220,6,7,14Q4,,2,,2,,2,,2,,2,,2,,2,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
1,37442,3110,1,0.057999998,14Q4,2,2,3,3,2,3,2,2,2,2,2,2,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13768,3230,8,60,14Q4,,3,3,3,3,3,3,3,2,2,2,2,2,3,2,,,,TRUE,FALSE,FALSE,FALSE,FALSE
6,13105,3330,1,0.050000001,14Q4,1,1,2,1,2,1,2,2,2,2,2,2,2,1,1,,,,TRUE,FALSE,FALSE,FALSE,FALSE
1,10932,3310,6,10.5,09Q4,1,3,2,2,2,3,2,3,2,2,2,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
5,37464,3310,7,22.5,17Q1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,96783,3220,5,3,17Q1,2,3,2,3,2,3,2,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
5,96837,3310,1,0.150000006,17Q1,1,1,2,1,2,1,2,3,2,1,2,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
6,13982,3230,1,0.200000003,17Q1,1,,,1,1,1,1,1,1,2,2,2,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,TRUE
5,14277,3230,9,140,17Q1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,3,,,,FALSE,FALSE,FALSE,FALSE,TRUE
