Streek,Idnr,Sektor,Gewig,Sektorw,Faktor,OpnameQ,Q1,Q2A,Q2P,Q3A,Q3P,Q4A,Q4P,Q5A,Q5P,Q6A,Q6P,Q7A,Q7P,Q8,Q9,Q4AX,Q6AX,Q7AX,Latecomer,NewRecruit,WrongClassif,Duplicate,Imputed
01,14010,2210,3,0.125,0.875,14Q4,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37248,2120,3,0.143000007,1.001000047,14Q4,1,2,3,2,3,2,3,2,2,1,1,1,1,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,14007,2210,9,0.125,87.5,14Q4,1,2,2,1,1,1,1,2,2,1,2,1,2,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,13753,2130,7,0.143000005,21.45000076,14Q4,1,2,,1,,2,,2,,3,,3,,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,37247,2210,5,0.125,3.75,14Q4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,13381,2120,5,0.142999999,4.289999962,14Q4,1,1,2,1,2,1,2,2,2,1,1,2,2,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,14653,2130,7,0.143000005,21.45000076,14Q4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37206,2220,3,0.125,0.875,14Q4,1,2,1,1,2,2,2,2,2,1,3,2,2,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
02,13383,2130,3,0.143000007,1.001000047,14Q4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37656,2110,5,0.214000003,6.420000076,14Q4,1,2,2,2,3,2,3,2,2,1,1,2,2,3,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
06,37618,2130,9,0.143000009,100.1000061,14Q4,2,2,2,3,3,3,3,2,2,1,1,2,2,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13386,2110,3,0.214000004,1.498000026,14Q4,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,96446,2210,1,0.125,0.125,14Q4,2,3,3,3,3,3,3,2,2,1,1,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,96674,2210,5,0.125,3.75,14Q4,2,3,3,3,3,,,,,,,,,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,53262,2220,8,0.125,37.5,14Q4,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
05,13984,2220,9,0.125,87.5,14Q4,2,3,2,3,2,3,2,3,3,1,1,1,1,1,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
08,13063,2110,4,0.214000003,3.210000038,14Q4,2,2,3,2,3,2,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13042,2220,2,0.125,0.375,14Q4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13290,2220,2,0.125,0.375,14Q4,2,3,3,3,3,3,3,2,2,2,2,3,3,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13233,2220,4,0.125,1.875,10Q4,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13238,2110,6,0.214000007,14.9800005,10Q4,1,2,2,2,1,2,1,2,2,3,3,3,3,1,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13238,2110,6,0.214000007,14.9800005,11Q4,1,2,2,2,1,2,1,2,2,1,1,2,1,3,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13238,2110,6,0.214000007,14.9800005,12Q1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13238,2110,6,0.214000007,14.9800005,12Q2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13288,2220,4,0.125,1.875,10Q4,2,2,2,3,2,1,2,2,3,2,2,2,2,2,1,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13290,2220,2,0.125,0.375,10Q4,1,1,2,,3,2,3,2,2,1,2,2,2,2,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13290,2220,2,0.125,0.375,11Q3,2,3,2,3,2,3,3,2,2,1,1,2,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13290,2220,2,0.125,0.375,12Q4,1,,,3,3,3,3,2,2,1,1,1,1,3,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13294,2110,3,0.214000004,1.498000026,10Q4,2,2,,3,,2,,1,,3,,3,,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13296,2110,3,0.214000004,1.498000026,10Q4,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13296,2110,3,0.214000004,1.498000026,11Q3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13297,2220,3,0.125,0.875,10Q4,1,3,1,3,1,3,1,2,2,3,1,1,1,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13300,2220,5,0.125,3.75,10Q4,2,3,,1,,1,,1,,1,,3,,2,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13301,2210,3,0.125,0.875,10Q4,2,3,3,3,3,3,3,2,2,1,1,1,1,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13315,2110,1,0.214000002,0.214000002,10Q4,2,3,2,3,3,3,3,2,3,2,1,3,3,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
01,13315,2110,1,0.214000002,0.214000002,11Q4,1,1,3,1,3,1,3,2,2,2,,2,1,2,3,,,,FALSE,FALSE,FALSE,FALSE,FALSE
01,13358,2220,2,0.125,0.375,10Q4,2,3,3,3,3,3,3,2,2,1,1,2,2,3,2,,,,FALSE,TRUE,FALSE,FALSE,FALSE
